username,password
cwebby0@last.fm,hD8<Y_DSY3`>.DJf
jfalloon1@stanford.edu,tA0%4<Cw|d8mglo)
cdeacon2@163.com,cJ8*R6e_b_J
gduly3@bloglines.com,xS2+13Ju1T@TD
vdeblasiis4@foxnews.com,"oB1(PwrL5""JCH_t"
zburchfield5@about.me,"iC6,&jwVzdm44D"
dthon6@wikispaces.com,vZ5%1qz$u79$N't{
hmacneice7@free.fr,jT6>a@6mokC
hrodman8@mtv.com,"nF1"")Lwa5Vd*"
cpaynes9@irs.gov,kS8+4hRY
dlookera@sakura.ne.jp,"sS6_Nz""lAM"
greynaldsb@technorati.com,tZ6}f.VGys+63
thumpheryc@msu.edu,"iL1{h5Ljzeqy""7"
sbakesd@list-manage.com,gO7|>\Q`M
dbyrche@nifty.com,iN4_AF`03w|y3&G
vwestwaterf@cocolog-nifty.com,lQ0{a4QTF!VxW|!e
ddavidofg@unesco.org,fL7|#O?lG`c
shaysmanh@ed.gov,iA7=U#Ed
rkelcheri@arstechnica.com,lZ3?0qSjJc+_*.
ccolvillj@dmoz.org,tZ5{Ay$6m(klrt3
